t^p_disperse/c,PRS.disperse.CAUS
t^p_disrespect,PRS.disrespect
t^p_divide,PRS.divide
t^p_do,PRS.do
t^p_do_mischief,PRS.do_mischief
t^p_do_violence_to,PRS.do_violence_to
t^p_draw,PRS.draw
t^p_draw_water,PRS.draw_water
t^p_dress,PRS.dress
t^p_dress_well,PRS.dress_well
t^p_drink,PRS.drink
t^p_drive,PRS.drive
t^p_eat,PRS.eat
t^p_eat_together_with,PRS.eat_together_with
t^p_embrace,PRS.embrace
t^p_enter,PRS.enter
t^p_expose,PRS.expose
t^p_extinguish,PRS.extinguish
t^p_fall,PRS.fall
t^p_fall_asleep,PRS.fall_asleep
t^p_fall_down,PRS.fall_down
t^p_fasten,PRS.fasten
t^p_fear,PRS.fear
t^p_fear/c,PRS.fear.CAUS
t^p_feed,PRS.feed
t^p_feel,PRS.feel
t^p_fetch,PRS.fetch
t^p_fight,PRS.fight
t^p_fight_over,PRS.fight_over
t^p_fill_belly,PRS.fill_belly
t^p_find,PRS.find
t^p_finish,PRS.finish
t^p_fly,PRS.fly
t^p_follow,PRS.follow
t^p_forgive,PRS.forgive
t^p_frighten,PRS.frighten
t^p_fumigate,PRS.fumigate
t^p_gather,PRS.gather
t^p_get_full,PRS.get_full
t^p_give,PRS.give
t^p_give_a_part_to,PRS.give_a_part_to
t^p_go,PRS.go
t^p_go_around,PRS.go_around
t^p_go_out,PRS.go_out
t^p_go_round,PRS.go_round
t^p_go_to,PRS.go_to
t^p_grab,PRS.grab
t^p_grease,PRS.grease
t^p_greet,PRS.greet
t^p_grind,PRS.grind
t^p_grow,PRS.grow
t^p_hang,PRS.hang
t^p_hear,PRS.hear
t^p_help,PRS.help
t^p_herd,PRS.herd
t^p_hide,PRS.hide
t^p_hinder,PRS.hinder
t^p_hit,PRS.hit
t^p_hit_right,PRS.hit_right
t^p_hold,PRS.hold
t^p_hurry,PRS.hurry
t^p_hurt,PRS.hurt
t^p_impede,PRS.impede
t^p_impede/p,PRS.impede.PASS
t^p_improve,PRS.improve
t^p_insult,PRS.insult
t^p_intoxicate,PRS.intoxicate
t^p_jostle,PRS.jostle
t^p_jump,PRS.jump
t^p_jump_down,PRS.jump_down
t^p_jump_over,PRS.jump_over
t^p_kick,PRS.kick
t^p_kill,PRS.kill
t^p_kiss,PRS.kiss
t^p_kneel,PRS.kneel
t^p_knock,PRS.knock
t^p_know,PRS.know
t^p_lack,PRS.lack
t^p_laugh,PRS.laugh
t^p_leak,PRS.leak
t^p_leave,PRS.leave
t^p_leave_behind,PRS.leave_behind
t^p_lend,PRS.lend
t^p_lick,PRS.lick
t^p_lift_heavy_thing,PRS.lift_heavy_thing
t^p_light/c,PRS.light.CAUS
t^p_like,PRS.like
t^p_listen,PRS.listen
t^p_live,PRS.live
t^p_lock,PRS.lock
t^p_look,PRS.look
t^p_lose,PRS.lose
t^p_make,PRS.make
t^p_make_fire,PRS.make_fire
t^p_make_noise,PRS.make_noise
t^p_make_slight_noise,PRS.make_slight_noise
t^p_mark_limit,PRS.mark_limit
t^p_marry,PRS.marry
t^p_measure,PRS.measure
t^p_meet,PRS.meet
t^p_milk/p,PRS.milk.PASS
t^p_mix_bread,PRS.mix_bread
t^p_mock,PRS.mock
t^p_mount,PRS.mount
t^p_move_shadow,PRS.move_shadow
t^p_mow,PRS.mow
